"w [mm]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg] - Freq='8.4GHz'"
6,79.2326274047823
6.5,78.5634993015222
7,77.5725864254162
7.5,76.1688458114328
8,73.7594988920309
8.5,69.5298411
9,62.2734432768331
9.5,30.4580043531745
10,168.507712328457
10.5,110.099507443525
11,100.218366375252
11.5,95.9899645182551
12,93.9406149266833
12.5,92.5355178714991
13,91.5565652078657
13.5,90.8887514872262
14,90.3699744335471
