"w [mm]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg] - Freq='8.4GHz'"
6,20.4229800349784
6.5,19.0764008832524
7,17.0966909179006
7.5,13.8476250931889
8,8.57761080022616
8.5,0.107891042636645
9,-23.1883206744486
9.5,-124.675606607613
10,96.6839360691961
10.5,63.6142202691336
11,52.0527268447067
11.5,47.2852424749609
12,44.3719948165745
12.5,42.4522143715627
13,41.0925043235217
13.5,40.1498095376864
14,39.3575603013816
